"region_id","mean_exc","lower_exc","upper_exc","mean_mort","lower_mort","upper_mort","prob_exc_pos"
1,7.38494367978232,0.177585925855847,14.6268775874647,0.172709065230659,0.00415313922253075,0.342073611514499,0.9775
2,8.33055324294054,3.80370375618549,12.6408626858012,0.809568531495272,0.369646381739129,1.22844718026976,1
3,28.2611040594936,15.27281493023,41.3941236263095,2.84862656149095,1.5394496332274,4.17239184298373,1
4,24.8359572927793,4.13446944321806,45.2952730327539,1.3058442728245,0.217385348990108,2.38157008318905,0.99125
5,7.91280570304076,4.25098355498262,11.8684730350836,1.02577664955268,0.551076297331289,1.5385696252539,1
6,10.3178537392389,4.14287455215637,16.373637707449,1.18844889259949,0.477191749187563,1.88597668594965,0.99875
7,64.657687581049,33.9431977438206,95.7223197644431,4.23878341190676,2.22522439212237,6.27529681846647,1
8,133.323607923752,55.8793325415322,205.792766100134,5.61343542595841,2.35273429629162,8.66466503286599,1
9,56.5014442532363,19.3614815479148,90.279627351321,3.49137257759169,1.19639677589419,5.57861519144345,1
10,36.565443143422,9.39805968126174,62.7543948894296,2.29839802528328,0.590734856629032,3.94455980544187,0.9975
11,-22.4389080465695,-191.756763192501,162.162924966438,-0.371296421928925,-3.17299754098029,2.6833085498014,0.39125
12,107.115092289482,-44.2481381549312,267.728881656379,2.09253009547279,-0.86440256717142,5.23017560195166,0.91375
13,-81.8151312602012,-427.315124859532,264.875120898289,-0.723452000151526,-3.77854288091828,2.34216376668529,0.32625
14,-44.1080196968293,-238.105329129392,168.530295015455,-0.580031527392701,-3.13114482773278,2.21621567011279,0.34
15,7.7578129397244,1.66462373627772,14.211684364461,0.430236373583513,0.0923174721073654,0.788158156298162,0.98875
16,5.46594264002927,-7.68423284380906,19.8299464440288,0.6536830807304,-0.918972870590521,2.37150320373325,0.7725
17,11.9761636594038,5.35563141855779,18.7432479675584,1.28892510431688,0.576395578848579,2.0172271796614,1
18,2.01955591717836,-6.77880207602513,10.651218736586,0.323312280915493,-1.08522370805978,1.70516190958793,0.6625
19,17.7471985619559,6.09643812611987,29.9748839424922,2.66651631574977,0.915989736324106,4.50372585939852,1
20,30.8042998296381,-2.5597446188164,65.2770280036215,1.87782400497384,-0.156041524020983,3.97927467387562,0.965
21,15.069658494213,-16.9041485125182,46.8341812218639,0.924047595070467,-1.03653561795743,2.87179782752057,0.80375
22,45.3152623578654,-16.0557266083265,109.57402816903,1.52232082723648,-0.539376045519639,3.68102966917851,0.91
23,3.16364133256198,-169.133532364914,183.329226637759,0.0506609640493091,-2.70841947678456,2.93574219817195,0.49625
24,39.2948887472149,12.8990873254381,66.3028095120815,2.69807218814567,0.885679279794207,4.55249453666277,0.99875
25,15.4174713176754,-5.2325984708775,36.9302674248633,1.31207815613144,-0.445311556738497,3.14288875197737,0.92625
26,-17.8689032389543,-65.0612018327612,30.3576657677578,-0.848295372058991,-3.08866837976996,1.44117784023602,0.24
27,-101.060809276132,-378.189579243509,196.099835492966,-1.39916099904256,-5.23593778153927,2.71495195522069,0.24625
28,-2.6515820288183,-92.6055646827348,88.7875935940604,-0.0591645822327108,-2.06630211222243,1.98111196461132,0.48125
29,19.9248544782476,-2.83921626835558,41.1991163595198,1.82210469623838,-0.259643015303071,3.76761112516566,0.95875
30,8.72996862501794,-17.178237784429,35.3775379189446,1.1665165651086,-2.295391861717,4.72722019835688,0.7325
31,5.6866018829848,0.19196900715647,11.4244028044176,1.26696864720864,0.0427704837278597,2.54534438389103,0.97625
32,6.23617390007526,-1.14785708786143,14.0201895296016,1.18076794968272,-0.217337245862653,2.65460692891053,0.93625
33,9.04238728141043,-14.8856487120539,33.7989688654144,0.593371284727162,-0.976812452882568,2.21792508482296,0.74625
34,-8.96262177992201,-52.2888839347508,38.2695390493076,-0.392968015602787,-2.2926169889211,1.6779358972761,0.35875
35,12.3315546751452,-1.15765890733838,25.4041327700988,1.14127617626658,-0.10714046736143,2.35113351665737,0.965
36,2.15691345409091,-18.4912173284714,24.1813505841746,0.36678736111135,-3.14446775543208,4.11208607005332,0.58625
37,14.1568437402898,3.66012184895249,24.955333909932,1.84080898161682,0.475924245330816,3.2449325318123,0.995
38,18.2043904248598,2.71982322128009,32.9756764124452,1.68310776663092,0.251464370998563,3.04880393050139,0.99375
39,20.6071480894345,-7.78728601783391,49.7151603437312,3.70259644734508,-1.39918330372338,8.93258859833531,0.915
40,12.8822966852157,-38.036931750459,60.6203182091608,0.309146124670725,-0.912800747596069,1.45475119139087,0.675
41,8.03972189747714,1.09765751370387,14.7494209500687,1.20854554447972,0.165001863804242,2.21715964807874,0.9875
42,18.3154984420671,-7.04722340099009,42.9454308559662,1.69400146828123,-0.65179808381102,3.97202528536626,0.9025
43,27.0671553001889,10.1312965987724,44.6898872004979,1.9239145178384,0.720125495078128,3.17652600844236,1
44,18.8731243105159,5.72964274117069,30.9991162537599,2.07495253532352,0.629929445527248,3.40811059182651,0.9975
45,37.5755260943083,15.5251045325829,58.5664225737095,4.32120495454592,1.7853950589451,6.73516891713934,1
46,72.7701945961313,18.3698425571937,127.521234652812,5.61851382724125,1.41831714185528,9.84578678317551,0.995
47,110.06123552903,13.9821334060426,200.12322414775,8.9934089640094,1.14251891963098,16.3526239670653,0.98875
